utr,amount,created_at,status
ICICN25081100030,36632.21,2025-08-11,processed
RATNN25081100144,14363.82,2025-08-11,processed
SBIN25081100083,12326.08,2025-08-11,processed
AXISN25081200010,81121.95,2025-08-12,processed
RATNN25081200145,8432.43,2025-08-12,processed
SBIN25081200084,5988.26,2025-08-12,processed
RATNN25081300146,18114.40,2025-08-13,processed
SBIN25081300085,12750.80,2025-08-13,processed
HDFCN25081400020,33087.28,2025-08-14,processed
RATNN25081400147,9187.09,2025-08-14,processed
SBIN25081400086,2840.35,2025-08-14,processed
RATNN25081500148,19.52,2025-08-15,processed
SBIN25081500087,5976.55,2025-08-15,processed
UNKN1000027883,41946.00,2025-08-15,processed
RATNN25081600149,2716.58,2025-08-16,processed
SBIN25081600088,988.12,2025-08-16,processed
RATNN25081700150,10054.97,2025-08-17,processed
SBIN25081700089,4833.18,2025-08-17,processed
