order_id,channel,order_value,expected_commission_rate,expected_fee,expected_net,status,resolution_reason
ord_000944,website,1846.00,0.02,36.92,1802.43,booked,
ord_000946,offline,1012.00,0.02,20.24,988.12,booked,
ord_000951,website,6676.00,0.02,133.52,6518.45,booked,
ord_000958,offline,828.00,0.02,16.56,808.46,booked,
ord_000962,website,6696.00,0.02,133.92,6537.97,booked,
ord_000973,website,2366.00,0.02,47.32,2310.16,booked,
ord_000974,website,2734.00,0.02,54.68,2669.48,booked,
ord_000976,website,2315.00,0.02,46.30,2260.37,booked,
ord_000977,offline,3892.99,0.02,77.86,3801.12,booked,
ord_000982,website,6069.00,0.02,121.38,5925.77,booked,
ord_000983,offline,844.00,0.02,16.88,824.08,booked,
ord_000988,website,5237.25,0.02,104.75,5113.64,booked,
ord_000989,offline,4106.00,0.02,82.12,4009.10,booked,
ord_000990,website,5400.00,0.02,108.00,5272.56,booked,
ord_000994,website,2782.25,0.02,55.65,2716.58,booked,
ord_000997,offline,2909.00,0.02,58.18,2840.35,booked,
ord_001002,website,4351.00,0.02,87.02,4248.32,booked,
ord_001006,offline,3566.00,0.02,71.32,3481.84,booked,
ord_001012,offline,5293.00,0.02,105.86,5168.09,booked,
ord_001017,offline,4463.00,0.02,89.26,4357.67,booked,
ord_001022,offline,2567.00,0.02,51.34,2506.42,booked,
ord_001027,website,4980.00,0.02,99.60,4862.47,booked,
ord_001038,offline,4703.00,0.02,94.06,4592.01,booked,
ord_001043,website,4670.00,0.02,93.40,4559.79,booked,
