utr,amount,created_at,status
ICICN25072800028,55174.44,2025-07-28,processed
RATNN25072800130,13057.64,2025-07-28,processed
SBIN25072800069,4806.08,2025-07-28,processed
AXISN25072900008,73306.26,2025-07-29,processed
RATNN25072900131,9398.31,2025-07-29,processed
SBIN25072900070,9252.60,2025-07-29,processed
RATNN25073000132,12012.64,2025-07-30,processed
SBIN25073000071,2488.84,2025-07-30,processed
HDFCN25073100018,41925.95,2025-07-31,processed
RATNN25073100133,2034.82,2025-07-31,processed
SBIN25073100072,7644.23,2025-07-31,processed
RATNN25080100134,1823.92,2025-08-01,processed
SBIN25080100073,8530.80,2025-08-01,processed
RATNN25080200135,16982.37,2025-08-02,processed
SBIN25080200074,5142.70,2025-08-02,processed
RATNN25080300136,7967.42,2025-08-03,processed
SBIN25080300075,2833.51,2025-08-03,processed
