order_id,channel,order_value,expected_commission_rate,expected_fee,expected_net,status,resolution_reason
ord_000657,offline,1650.00,0.02,33.00,1611.06,booked,
ord_000659,offline,2211.00,0.02,44.22,2158.82,booked,
ord_000661,website,2135.00,0.02,42.70,2084.61,booked,
ord_000679,offline,2549.00,0.02,50.98,2488.84,booked,
ord_000684,offline,3358.00,0.02,0.00,0.00,booked,
ord_000691,website,2979.00,0.02,59.58,2908.70,booked,
ord_000692,offline,3296.25,0.02,65.93,3218.45,booked,
ord_000699,website,2201.00,0.02,44.02,2149.06,booked,
ord_000700,website,1299.99,0.02,0.00,0.00,booked,
ord_000703,website,1868.00,0.02,37.36,1823.92,booked,
ord_000707,website,6186.50,0.02,123.73,6040.50,booked,
ord_000708,offline,3110.00,0.02,62.20,3036.60,booked,
ord_000711,website,6721.00,0.02,134.42,6562.38,booked,
ord_000714,offline,5267.00,0.02,105.34,5142.70,booked,
ord_000717,website,2084.00,0.02,41.68,2034.82,booked,
ord_000718,offline,1121.00,0.02,22.42,1094.54,booked,
ord_000719,offline,2606.00,0.02,52.12,2544.50,booked,
ord_000725,website,4515.00,0.02,0.00,0.00,booked,
ord_000732,website,2060.00,0.02,41.20,2011.38,booked,
ord_000738,website,5582.00,0.02,111.64,5450.26,booked,
ord_000740,offline,4530.00,0.02,90.60,4423.09,booked,
ord_000743,website,3965.00,0.02,79.30,3871.43,booked,
ord_000752,website,2617.00,0.02,52.34,2555.24,booked,
ord_000755,offline,2902.00,0.02,58.04,2833.51,booked,
ord_000759,offline,4102.00,0.02,82.04,4005.19,booked,
ord_000761,website,3410.00,0.02,68.20,3329.52,booked,
ord_000762,offline,3416.00,0.02,68.32,3335.38,booked,
ord_000785,website,6532.00,0.02,130.64,6377.84,booked,
ord_000787,flipkart,4334.00,0.15,650.10,3519.21,booked,
ord_000804,flipkart,1414.99,0.22,311.30,1032.10,booked,
ord_000805,flipkart,1716.00,0.15,257.40,1393.39,booked,
ord_000809,flipkart,3469.00,0.22,763.18,2530.29,booked,
ord_000812,offline,4338.50,0.02,86.77,4236.11,booked,
ord_000820,amazon,4094.00,0.22,900.68,2986.17,booked,
ord_000824,website,3519.00,0.02,70.38,3435.95,booked,
ord_000827,website,5400.25,0.02,108.01,5272.80,booked,
ord_000828,amazon,4930.00,0.22,1084.60,3595.94,booked,
ord_000834,website,4341.00,0.02,0.00,0.00,booked,
ord_000838,flipkart,4447.00,0.15,667.05,3610.96,booked,
ord_000849,flipkart,4065.00,0.19,772.35,3108.91,booked,
ord_000850,website,4156.00,0.02,0.00,0.00,booked,
ord_000854,website,2730.00,0.02,54.60,2665.57,booked,
ord_000858,flipkart,3082.00,0.22,678.04,2248.01,booked,
ord_000866,flipkart,4134.99,0.17,702.95,3260.03,booked,
ord_000868,flipkart,3657.00,0.19,694.83,2796.87,booked,
ord_000880,amazon,2346.99,0.22,0.00,0.00,booked,
ord_000886,flipkart,535.50,0.15,80.33,434.81,booked,
ord_000888,flipkart,4018.00,0.17,683.06,3167.79,booked,
ord_000897,flipkart,583.00,0.17,99.11,459.64,booked,
ord_000905,website,4709.00,0.02,94.18,4597.87,booked,
ord_000908,amazon,2668.00,0.20,0.00,0.00,booked,
ord_000915,flipkart,1816.00,0.19,345.04,1388.87,booked,
ord_000924,amazon,4470.00,0.20,894.00,3365.91,booked,
ord_000926,flipkart,2586.00,0.17,439.62,2038.80,booked,
ord_000927,flipkart,3593.00,0.22,790.46,2620.74,booked,
ord_000928,myntra,1240.00,0.25,310.00,860.56,booked,
ord_000929,amazon,2254.00,0.24,540.96,1590.88,booked,
ord_000932,myntra,5566.00,0.25,1391.50,3862.80,booked,
ord_000933,flipkart,2819.00,0.22,620.18,2056.18,booked,
ord_000935,amazon,3651.00,0.22,803.22,2663.04,booked,
ord_000937,flipkart,2956.00,0.22,650.32,2156.10,booked,
ord_000938,amazon,2519.99,0.22,554.40,1838.08,booked,
ord_000940,flipkart,4272.00,0.19,811.68,3267.23,booked,
ord_000941,flipkart,2229.99,0.17,379.10,1758.12,booked,
ord_000942,flipkart,664.00,0.15,99.60,539.17,booked,
ord_000948,amazon,2597.00,0.20,519.40,1955.54,booked,
ord_000949,amazon,1909.00,0.20,381.80,1437.48,booked,
ord_000950,flipkart,3107.00,0.15,466.05,2522.88,booked,
ord_000955,amazon,3179.00,0.22,699.38,2318.76,booked,
ord_000956,flipkart,2346.00,0.17,398.82,1849.58,booked,
ord_000957,amazon,1869.00,0.24,448.56,1319.14,booked,
ord_000963,amazon,4646.00,0.22,1022.12,3388.79,booked,
ord_000964,amazon,994.00,0.22,218.68,725.03,booked,
ord_000965,amazon,2493.00,0.22,548.46,1818.40,booked,
ord_000968,amazon,676.00,0.20,135.20,509.02,booked,
ord_000970,myntra,3902.00,0.25,975.50,2707.99,booked,
ord_000975,flipkart,1335.00,0.15,200.25,1084.01,booked,
ord_000979,amazon,1214.00,0.20,242.80,914.15,booked,
ord_000981,myntra,4109.00,0.25,1027.25,2851.64,booked,
ord_000984,amazon,1638.00,0.20,327.60,1233.41,booked,
ord_000985,amazon,2124.00,0.18,382.32,1649.50,booked,
ord_000986,amazon,752.00,0.18,135.36,584.01,booked,
ord_000991,amazon,3423.00,0.22,753.06,2496.74,booked,
ord_000992,amazon,1918.00,0.20,383.60,1444.25,booked,
ord_000996,amazon,3766.00,0.24,903.84,2658.04,booked,
ord_000998,amazon,2744.00,0.20,548.80,2066.24,booked,
ord_001001,amazon,3683.00,0.18,662.94,2860.22,booked,
ord_001003,amazon,2959.00,0.18,532.62,2297.96,booked,
ord_001004,flipkart,1350.00,0.15,202.50,1096.20,booked,
ord_001005,flipkart,3103.00,0.19,589.57,2373.18,booked,
ord_001007,amazon,1665.00,0.22,366.30,1214.45,booked,
ord_001008,flipkart,763.00,0.15,114.45,619.56,booked,
ord_001010,flipkart,3715.00,0.19,705.85,2841.23,booked,
ord_001011,amazon,2390.25,0.22,525.86,1743.45,booked,
ord_001014,flipkart,2972.00,0.17,505.24,2343.13,booked,
ord_001018,flipkart,4458.99,0.15,668.85,3620.70,booked,
ord_001019,flipkart,2712.00,0.15,406.80,2202.15,booked,
ord_001020,myntra,1043.00,0.25,260.75,723.84,booked,
ord_001021,flipkart,3589.00,0.17,610.13,2829.57,booked,
ord_001024,amazon,3327.00,0.18,598.86,2583.75,booked,
ord_001025,myntra,5156.00,0.25,1289.00,3578.26,booked,
ord_001026,amazon,2599.00,0.18,467.82,2018.38,booked,
ord_001029,flipkart,1118.00,0.22,245.96,815.47,booked,
ord_001030,flipkart,1293.00,0.19,245.67,988.89,booked,
ord_001034,flipkart,876.00,0.19,166.44,669.96,booked,
ord_001041,flipkart,3547.00,0.17,602.99,2796.45,booked,
ord_001042,amazon,993.00,0.20,198.60,747.73,booked,
ord_001045,amazon,711.00,0.18,127.98,552.16,booked,
ord_001047,amazon,1659.00,0.18,298.62,1288.38,booked,
ord_001048,amazon,1674.00,0.18,301.32,1300.03,booked,
ord_001049,flipkart,2352.00,0.17,399.84,1854.32,booked,
