order_id,channel,order_value,expected_commission_rate,expected_fee,expected_net,status,resolution_reason
ord_000001,amazon,2421.00,0.18,435.78,1880.15,booked,
ord_000002,flipkart,812.99,0.22,178.86,593.00,booked,
ord_000003,flipkart,3420.00,0.17,581.40,2696.33,booked,
ord_000004,flipkart,771.00,0.22,169.62,562.37,booked,
ord_000005,flipkart,553.00,0.22,121.66,403.36,booked,
ord_000006,flipkart,4049.00,0.17,688.33,3192.23,booked,
ord_000007,amazon,1707.00,0.20,0.00,0.00,booked,
ord_000008,amazon,1821.00,0.18,327.78,1414.19,booked,
ord_000009,flipkart,912.00,0.17,155.04,719.02,booked,
ord_000010,website,5401.00,0.02,108.02,5273.54,booked,
ord_000011,flipkart,2697.00,0.15,404.55,2189.96,booked,
ord_000012,myntra,5739.00,0.22,1262.58,4186.03,booked,
ord_000013,flipkart,1093.00,0.15,163.95,887.52,booked,
ord_000014,flipkart,1533.00,0.19,291.27,1172.44,booked,
ord_000015,flipkart,3666.00,0.22,806.52,2673.98,booked,
ord_000016,website,2921.00,0.02,58.42,2852.06,booked,
ord_000017,offline,1634.00,0.02,32.68,1595.44,booked,
ord_000018,flipkart,2328.00,0.22,512.16,1698.04,booked,
ord_000019,myntra,1261.00,0.25,315.25,875.13,booked,
ord_000020,website,1518.00,0.02,30.36,1482.18,booked,
ord_000021,amazon,3434.25,0.18,618.17,2667.04,booked,
ord_000022,myntra,1057.00,0.25,264.25,733.55,booked,
ord_000023,amazon,4518.00,0.18,0.00,0.00,booked,
ord_000024,myntra,4427.25,0.25,1106.81,3072.51,booked,
ord_000025,amazon,1063.00,0.22,233.86,775.36,booked,
ord_000026,flipkart,1160.00,0.22,255.20,846.10,booked,
ord_000027,amazon,2594.00,0.24,622.56,1830.85,booked,
ord_000028,offline,3819.00,0.02,76.38,3728.87,booked,
ord_000029,myntra,2840.00,0.22,624.80,2071.50,booked,
ord_000030,flipkart,1859.00,0.17,316.03,1465.63,booked,
ord_000031,myntra,4005.00,0.25,1001.25,2779.46,booked,
ord_000032,myntra,809.00,0.20,161.80,609.18,booked,
ord_000033,myntra,2886.00,0.25,721.50,2002.88,booked,
ord_000034,flipkart,4353.00,0.17,740.01,3431.91,booked,
ord_000035,flipkart,1266.00,0.22,278.52,923.42,booked,
ord_000036,flipkart,1649.00,0.15,247.35,1338.99,booked,
ord_000037,website,6117.00,0.02,122.34,5972.64,booked,
