utr,amount,created_at,status
ICICN25060900021,19564.38,2025-06-09,processed
AXISN25061000001,10707.57,2025-06-10,processed
SBIN25061000031,3728.87,2025-06-10,processed
RATNN25061100091,5972.64,2025-06-11,processed
SBIN25061100032,4965.97,2025-06-11,processed
HDFCN25061200011,36918.96,2025-06-12,processed
SBIN25061200033,4896.65,2025-06-12,processed
RATNN25061300093,8125.60,2025-06-13,processed
SBIN25061400034,1556.62,2025-06-14,processed
RATNN25061500094,1482.18,2025-06-15,processed
SBIN25061500035,6331.96,2025-06-15,processed
UNKN0100069718,17625.00,2025-06-15,processed
