utr,amount,created_at,status
ICICN25080400029,41992.00,2025-08-04,processed
RATNN25080400137,3610.72,2025-08-04,processed
SBIN25080400076,4236.11,2025-08-04,processed
AXISN25080500009,67738.82,2025-08-05,processed
RATNN25080500138,9100.11,2025-08-05,processed
SBIN25080500077,5190.54,2025-08-05,processed
RATNN25080600139,5331.14,2025-08-06,processed
SBIN25080600078,3423.26,2025-08-06,processed
HDFCN25080700019,76896.14,2025-08-07,processed
RATNN25080700140,15786.44,2025-08-07,processed
SBIN25080700079,3706.41,2025-08-07,processed
RATNN25080800141,18470.55,2025-08-08,processed
SBIN25080800080,3306.09,2025-08-08,processed
RATNN25080900142,8001.60,2025-08-09,processed
SBIN25080900081,6923.70,2025-08-09,processed
RATNN25081000143,17515.65,2025-08-10,processed
SBIN25081000082,6969.54,2025-08-10,processed
