entity_id,type,channel,order_id,amount,fee,tax,tcs,tds,debit,credit,settlement_id,settlement_utr,created_at,settled_at,on_hold,dispute_id,description
st_000829,payment,website,ord_000785,6532.00,130.64,23.52,0.00,0.00,0.00,6377.84,RZP-STL-20250303-0137,RATNN25030300137,2025-03-01,2025-03-03,false,,rzp settlement pay_000785
st_000835,payment,myntra,ord_000791,4918.00,1082.94,194.75,49.18,4.92,0.00,3586.21,MYN-PO-20250303-0029,ICICN25030300029,2025-02-21,2025-03-03,false,,SJIT SALE ord_000791
st_000836,payment,myntra,ord_000792,1099.00,241.78,43.52,10.99,1.10,0.00,801.61,MYN-PO-20250303-0029,ICICN25030300029,2025-02-19,2025-03-03,false,,SJIT SALE ord_000792
st_000847,payment,myntra,ord_000803,4958.50,1090.87,196.36,49.59,4.96,0.00,3616.72,MYN-PO-20250303-0029,ICICN25030300029,2025-02-15,2025-03-03,false,,PPMP SALE ord_000803
st_000855,payment,myntra,ord_000811,3564.00,969.41,174.49,35.64,3.56,0.00,2380.90,MYN-PO-20250303-0029,ICICN25030300029,2025-02-19,2025-03-03,false,,PPMP SALE ord_000811
st_000856,payment,offline,ord_000812,4338.50,86.77,15.62,0.00,0.00,0.00,4236.11,POS-BATCH-20250303-0076,SBIN25030300076,2025-03-02,2025-03-03,false,,POS TID000812 SALE
st_000859,payment,myntra,ord_000815,5615.00,1527.28,274.91,56.15,5.62,0.00,3751.04,MYN-PO-20250303-0029,ICICN25030300029,2025-02-18,2025-03-03,false,,PPMP SALE ord_000815
st_000865,payment,myntra,ord_000821,3082.00,838.30,150.89,30.82,3.08,0.00,2058.91,MYN-PO-20250303-0029,ICICN25030300029,2025-02-11,2025-03-03,false,,SJIT SALE ord_000821
st_000868,payment,website,ord_000824,3519.00,70.38,12.67,0.00,0.00,0.00,3435.95,RZP-STL-20250303-0137,RATNN25030300137,2025-03-01,2025-03-03,false,,rzp settlement pay_000824
st_000869,payment,myntra,ord_000825,3006.00,751.50,135.27,30.06,3.01,0.00,2086.16,MYN-PO-20250303-0029,ICICN25030300029,2025-02-11,2025-03-03,false,,PPMP SALE ord_000825
st_000887,payment,myntra,ord_000842,4297.00,1168.78,210.38,42.97,4.30,0.00,2870.57,MYN-PO-20250303-0029,ICICN25030300029,2025-02-18,2025-03-03,false,,SJIT SALE ord_000842
st_000888,payment,myntra,ord_000843,2810.00,764.32,137.58,28.10,2.81,0.00,1877.19,MYN-PO-20250303-0029,ICICN25030300029,2025-02-20,2025-03-03,false,,PPMP SALE ord_000843
st_000891,payment,myntra,ord_000846,4742.00,1327.76,239.00,47.42,4.74,0.00,3123.08,MYN-PO-20250303-0029,ICICN25030300029,2025-02-10,2025-03-03,false,,SJIT SALE ord_000846
st_000892,refund,myntra,ord_000846,-4742.00,-1327.76,-239.00,-47.42,-4.74,0.00,-3123.08,MYN-PO-20250303-0029,ICICN25030300029,2025-02-10,2025-03-03,false,,CUSTOMER CANCEL ord_000846
st_000893,payment,myntra,ord_000847,1083.99,294.85,53.07,10.84,1.08,0.00,724.15,MYN-PO-20250303-0029,ICICN25030300029,2025-02-21,2025-03-03,false,,SJIT SALE ord_000847
st_000896,payment,website,ord_000850,4156.00,83.12,14.96,0.00,0.00,0.00,4057.92,RZP-STL-20250303-0137,RATNN25030300137,2025-03-01,2025-03-03,false,,PG CAPTURE pay_000850
st_000897,refund,website,ord_000850,-4156.00,-83.12,-14.96,0.00,0.00,0.00,-4057.92,RZP-STL-20250303-0137,RATNN25030300137,2025-03-01,2025-03-03,false,,PG REFUND pay_000850
st_000907,payment,myntra,ord_000859,2337.99,514.36,92.58,23.38,2.34,0.00,1705.33,MYN-PO-20250303-0029,ICICN25030300029,2025-02-13,2025-03-03,false,,PPMP SALE ord_000859
st_000911,payment,myntra,ord_000862,2096.00,570.11,102.62,20.96,2.10,0.00,1400.21,MYN-PO-20250303-0029,ICICN25030300029,2025-02-21,2025-03-03,false,,PPMP SALE ord_000862
st_000928,payment,myntra,ord_000878,1144.00,311.17,56.01,11.44,1.14,0.00,764.24,MYN-PO-20250303-0029,ICICN25030300029,2025-02-18,2025-03-03,false,,PPMP SALE ord_000878
st_000929,payment,myntra,ord_000879,4958.25,1348.64,242.76,49.58,4.96,0.00,3312.31,MYN-PO-20250303-0029,ICICN25030300029,2025-02-10,2025-03-03,false,,PPMP SALE ord_000879
st_000943,payment,myntra,ord_000893,4274.50,1162.66,209.28,42.75,4.27,0.00,2855.54,MYN-PO-20250303-0029,ICICN25030300029,2025-02-15,2025-03-03,false,,PPMP SALE ord_000893
st_000951,payment,myntra,ord_000901,4469.00,1215.57,218.80,44.69,4.47,0.00,2985.47,MYN-PO-20250303-0029,ICICN25030300029,2025-02-20,2025-03-03,false,,SJIT SALE ord_000901
st_000953,payment,myntra,ord_000903,5304.00,1326.00,238.68,53.04,5.30,0.00,3680.98,MYN-PO-20250303-0029,ICICN25030300029,2025-02-14,2025-03-03,false,,PPMP SALE ord_000903
st_000967,payment,myntra,ord_000916,1758.00,478.18,86.07,17.58,1.76,0.00,1174.41,MYN-PO-20250303-0029,ICICN25030300029,2025-02-18,2025-03-03,false,,SJIT SALE ord_000916
st_001152,adjustment,myntra,ord_000376,360.05,0.00,0.00,0.00,0.00,0.00,360.05,MYN-PO-20250303-0029,ICICN25030300029,2025-01-23,2025-03-03,false,,CLAIM REIMBURSEMENT ord_000376
st_001207,adjustment,website,ord_000923,-6203.07,0.00,0.00,0.00,0.00,0.00,-6203.07,RZP-STL-20250303-0137,RATNN25030300137,2025-03-07,2025-03-03,false,CB-09003,CHARGEBACK DEBIT ord_000923
st_000440,payment,amazon,ord_000420,4095.99,983.04,176.95,40.96,4.10,0.00,2890.94,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-03,2025-03-04,false,,Principal ord_000420
st_000441,payment,amazon,ord_000421,952.00,209.44,37.70,9.52,0.95,0.00,694.39,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-03,2025-03-04,false,,Principal ord_000421
st_000448,payment,amazon,ord_000428,1035.00,248.40,44.71,10.35,1.04,0.00,730.50,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-04,2025-03-04,false,,Order Payment ord_000428 EASYSHIP
st_000480,payment,amazon,ord_000460,736.00,147.20,26.50,7.36,0.74,0.00,554.20,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-03,2025-03-04,false,,Order Payment ord_000460 FBA
st_000487,payment,amazon,ord_000467,3490.00,628.20,113.08,34.90,3.49,0.00,2710.33,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-03,2025-03-04,false,,Order Payment ord_000467 EASYSHIP
st_000535,payment,amazon,ord_000511,2367.00,473.40,85.21,23.67,2.37,0.00,1782.35,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-01,2025-03-04,false,,Order Payment ord_000511 EASYSHIP
st_000542,payment,amazon,ord_000518,2716.25,597.58,107.56,27.16,2.72,0.00,1981.23,AMZ-STL-20250304-0009,AXISN25030400009,2025-01-31,2025-03-04,false,,Order Payment ord_000518 EASYSHIP
st_000828,payment,amazon,ord_000784,1711.00,367.87,66.22,17.11,1.71,0.00,1258.09,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-22,2025-03-04,false,,Order Payment ord_000784 EASYSHIP
st_000830,payment,amazon,ord_000786,872.00,191.84,34.53,8.72,0.87,0.00,636.04,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-23,2025-03-04,false,,Order Payment ord_000786 FBA
st_000832,payment,amazon,ord_000788,4144.00,745.92,134.27,41.44,4.14,0.00,3218.23,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-18,2025-03-04,false,,Order Payment ord_000788 EASYSHIP
st_000834,payment,amazon,ord_000790,1155.00,248.33,44.70,11.55,1.16,0.00,849.26,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-20,2025-03-04,false,,Order Payment ord_000790 FBA
st_000838,payment,amazon,ord_000794,3882.00,834.63,150.23,38.82,3.88,0.00,2854.44,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-20,2025-03-04,false,,Order Payment ord_000794 FBA
st_000840,payment,amazon,ord_000796,2402.00,528.44,95.12,24.02,2.40,0.00,1752.02,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-20,2025-03-04,false,,Principal ord_000796
st_000844,payment,offline,ord_000800,5316.00,106.32,19.14,0.00,0.00,0.00,5190.54,POS-BATCH-20250304-0077,SBIN25030400077,2025-03-03,2025-03-04,false,,POS TID000800 SALE
st_000850,payment,amazon,ord_000806,3031.00,545.58,98.20,30.31,3.03,0.00,2353.88,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-18,2025-03-04,false,,Order Payment ord_000806 FBA
st_000851,payment,amazon,ord_000807,1938.00,426.36,76.74,19.38,1.94,0.00,1413.58,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-20,2025-03-04,false,,Order Payment ord_000807 EASYSHIP
st_000857,payment,amazon,ord_000813,4467.00,804.06,144.73,44.67,4.47,0.00,3469.07,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-20,2025-03-04,false,,Order Payment ord_000813 FBA
st_000860,payment,amazon,ord_000816,2474.00,531.91,95.74,24.74,2.47,0.00,1819.14,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-23,2025-03-04,false,,Principal ord_000816
st_000861,payment,amazon,ord_000817,4980.00,1195.20,215.14,49.80,4.98,0.00,3514.88,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-23,2025-03-04,false,,Order Payment ord_000817 EASYSHIP
st_000864,payment,amazon,ord_000820,4094.00,900.68,162.12,40.94,4.09,0.00,2986.17,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-24,2025-03-04,false,,Order Payment ord_000820 FBA
st_000870,payment,amazon,ord_000826,2843.00,625.46,112.58,28.43,2.84,0.00,2073.69,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-21,2025-03-04,false,,Order Payment ord_000826 FBA
st_000871,payment,website,ord_000827,5400.25,108.01,19.44,0.00,0.00,0.00,5272.80,RZP-STL-20250304-0138,RATNN25030400138,2025-03-02,2025-03-04,false,,rzp settlement pay_000827
st_000872,payment,amazon,ord_000828,4930.00,1084.60,195.23,49.30,4.93,0.00,3595.94,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-24,2025-03-04,false,,Order Payment ord_000828 FBA
st_000878,payment,website,ord_000834,4341.00,86.82,15.63,0.00,0.00,0.00,4238.55,RZP-STL-20250304-0138,RATNN25030400138,2025-03-02,2025-03-04,false,,PG CAPTURE pay_000834
st_000879,refund,website,ord_000834,-4341.00,-86.82,-15.63,0.00,0.00,0.00,-4238.55,RZP-STL-20250304-0138,RATNN25030400138,2025-03-02,2025-03-04,false,,rfnd_000834 refund
st_000894,payment,amazon,ord_000848,910.00,200.20,36.04,9.10,0.91,0.00,663.75,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-18,2025-03-04,false,,Principal ord_000848
st_000898,payment,amazon,ord_000851,1541.00,308.20,55.48,15.41,1.54,0.00,1160.37,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-18,2025-03-04,false,,Principal ord_000851
st_000899,refund,amazon,ord_000851,-1541.00,-308.20,-55.48,-15.41,-1.54,0.00,-1160.37,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-18,2025-03-04,false,,Return-Principal ord_000851
st_000902,payment,website,ord_000854,2730.00,54.60,9.83,0.00,0.00,0.00,2665.57,RZP-STL-20250304-0138,RATNN25030400138,2025-03-02,2025-03-04,false,,PG CAPTURE pay_000854
st_000903,payment,amazon,ord_000855,4508.00,991.76,178.52,45.08,4.51,0.00,3288.13,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-19,2025-03-04,false,,Principal ord_000855
st_000910,payment,amazon,ord_000861,3466.00,901.16,124.78,34.66,3.47,0.00,2401.93,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-19,2025-03-04,false,,Order Payment ord_000861 FBA
st_000914,payment,amazon,ord_000865,4081.00,897.82,161.61,40.81,4.08,0.00,2976.68,AMZ-STL-20250304-0009,AXISN25030400009,2025-02-23,2025-03-04,false,,Principal ord_000865
