utr,amount,created_at,status
ICICN25070700025,50031.63,2025-07-07,processed
RATNN25070700110,9098.09,2025-07-07,processed
SBIN25070700050,4052.29,2025-07-07,processed
AXISN25070800005,34741.93,2025-07-08,processed
RATNN25070800111,11699.22,2025-07-08,processed
SBIN25070800051,4180.26,2025-07-08,processed
RATNN25070900112,7753.10,2025-07-09,processed
SBIN25070900052,6296.80,2025-07-09,processed
HDFCN25071000015,41470.98,2025-07-10,processed
RATNN25071000113,10893.70,2025-07-10,processed
SBIN25071000053,13387.68,2025-07-10,processed
RATNN25071100114,5409.26,2025-07-11,processed
SBIN25071100054,2519.11,2025-07-11,processed
RATNN25071200115,1462.65,2025-07-12,processed
SBIN25071200055,9032.67,2025-07-12,processed
RATNN25071300116,6498.92,2025-07-13,processed
SBIN25071300056,1257.60,2025-07-13,processed
