entity_id,type,channel,order_id,amount,fee,tax,tcs,tds,debit,credit,settlement_id,settlement_utr,created_at,settled_at,on_hold,dispute_id,description
st_000323,payment,myntra,ord_000307,1958.00,489.50,88.11,19.58,1.96,0.00,1358.85,MYN-PO-20250707-0025,ICICN25070700025,2025-06-18,2025-07-07,false,,SJIT SALE ord_000307
st_000324,payment,myntra,ord_000308,5355.00,1456.56,262.18,53.55,5.36,0.00,3577.35,MYN-PO-20250707-0025,ICICN25070700025,2025-06-16,2025-07-07,false,,SJIT SALE ord_000308
st_000325,payment,myntra,ord_000309,1091.00,218.20,39.28,10.91,1.09,0.00,821.52,MYN-PO-20250707-0025,ICICN25070700025,2025-06-23,2025-07-07,false,,PPMP SALE ord_000309
st_000329,payment,myntra,ord_000313,1173.00,293.25,52.79,11.73,1.17,0.00,814.06,MYN-PO-20250707-0025,ICICN25070700025,2025-06-20,2025-07-07,false,,SJIT SALE ord_000313
st_000344,payment,myntra,ord_000327,4167.00,1166.76,210.02,41.67,4.17,0.00,2744.38,MYN-PO-20250707-0025,ICICN25070700025,2025-06-18,2025-07-07,false,,PPMP SALE ord_000327
st_000354,payment,myntra,ord_000336,2122.00,577.18,103.89,21.22,2.12,0.00,1417.59,MYN-PO-20250707-0025,ICICN25070700025,2025-06-16,2025-07-07,false,,PPMP SALE ord_000336
st_000368,payment,myntra,ord_000349,1924.00,523.33,94.20,19.24,1.92,0.00,1285.31,MYN-PO-20250707-0025,ICICN25070700025,2025-06-25,2025-07-07,false,,SJIT SALE ord_000349
st_000370,payment,myntra,ord_000351,4284.00,1165.25,209.75,42.84,4.28,0.00,2861.88,MYN-PO-20250707-0025,ICICN25070700025,2025-06-19,2025-07-07,false,,SJIT SALE ord_000351
st_000371,payment,myntra,ord_000352,3193.00,799.22,143.69,31.93,3.19,0.00,2214.97,MYN-PO-20250707-0025,ICICN25070700025,2025-06-24,2025-07-07,false,,SJIT SALE ord_000352
st_000383,payment,website,ord_000364,2635.00,52.70,9.49,0.00,0.00,0.00,2572.81,RZP-STL-20250707-0110,RATNN25070700110,2025-07-05,2025-07-07,false,,PG CAPTURE pay_000364
st_000384,payment,myntra,ord_000365,3443.00,757.46,136.34,34.43,3.44,0.00,2511.33,MYN-PO-20250707-0025,ICICN25070700025,2025-06-21,2025-07-07,false,,SJIT SALE ord_000365
st_000386,payment,myntra,ord_000367,2078.00,565.22,101.74,20.78,2.08,0.00,1388.18,MYN-PO-20250707-0025,ICICN25070700025,2025-06-18,2025-07-07,false,,SJIT SALE ord_000367
st_000387,payment,myntra,ord_000368,3693.00,1004.50,180.81,36.93,3.69,0.00,2467.07,MYN-PO-20250707-0025,ICICN25070700025,2025-06-22,2025-07-07,false,,SJIT SALE ord_000368
st_000390,payment,myntra,ord_000371,2316.00,509.52,91.71,23.16,2.32,0.00,1689.29,MYN-PO-20250707-0025,ICICN25070700025,2025-06-21,2025-07-07,false,,SJIT SALE ord_000371
st_000394,payment,offline,ord_000375,2232.00,44.64,8.04,0.00,0.00,0.00,2179.32,POS-BATCH-20250707-0050,SBIN25070700050,2025-07-06,2025-07-07,false,,CARD SALE TID000375
st_000395,payment,myntra,ord_000376,4781.50,956.30,172.13,47.82,4.78,0.00,3240.42,MYN-PO-20250707-0025,ICICN25070700025,2025-06-26,2025-07-07,false,,SJIT SALE ord_000376
st_000398,payment,website,ord_000379,6683.00,133.66,24.06,0.00,0.00,0.00,6525.28,RZP-STL-20250707-0110,RATNN25070700110,2025-07-05,2025-07-07,false,,PG CAPTURE pay_000379
st_000403,payment,myntra,ord_000384,5609.00,1525.65,274.62,56.09,5.61,0.00,3747.03,MYN-PO-20250707-0025,ICICN25070700025,2025-06-25,2025-07-07,false,,SJIT SALE ord_000384
st_000406,payment,myntra,ord_000387,3559.00,968.05,174.25,35.59,3.56,0.00,2377.55,MYN-PO-20250707-0025,ICICN25070700025,2025-06-18,2025-07-07,false,,SJIT SALE ord_000387
st_000409,payment,myntra,ord_000390,5832.00,1166.40,209.95,58.32,5.83,0.00,4391.50,MYN-PO-20250707-0025,ICICN25070700025,2025-06-23,2025-07-07,false,,PPMP SALE ord_000390
st_000412,payment,offline,ord_000393,1918.25,38.37,6.91,0.00,0.00,0.00,1872.97,POS-BATCH-20250707-0050,SBIN25070700050,2025-07-06,2025-07-07,false,,POS TID000393 SALE
st_000415,payment,myntra,ord_000396,1713.00,428.25,77.09,17.13,1.71,0.00,1069.94,MYN-PO-20250707-0025,ICICN25070700025,2025-06-21,2025-07-07,false,,SJIT SALE ord_000396
st_000416,payment,myntra,ord_000397,3024.00,822.53,148.06,30.24,3.02,0.00,2020.15,MYN-PO-20250707-0025,ICICN25070700025,2025-06-18,2025-07-07,false,,PPMP SALE ord_000397
st_000417,payment,myntra,ord_000398,5554.00,1221.88,219.94,55.54,5.55,0.00,4051.09,MYN-PO-20250707-0025,ICICN25070700025,2025-06-19,2025-07-07,false,,PPMP SALE ord_000398
st_000426,payment,myntra,ord_000406,5738.00,1434.50,258.21,57.38,5.74,0.00,3982.17,MYN-PO-20250707-0025,ICICN25070700025,2025-06-16,2025-07-07,false,,PPMP SALE ord_000406
st_000076,payment,amazon,ord_000071,4748.00,854.64,153.84,47.48,4.75,0.00,3687.29,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-05,2025-07-08,false,,Principal ord_000071
st_000080,payment,amazon,ord_000075,3871.00,929.04,167.23,38.71,3.87,0.00,2732.15,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-06,2025-07-08,false,,Order Payment ord_000075 FBA
st_000097,payment,amazon,ord_000091,3372.00,741.84,133.53,33.72,3.37,0.00,2459.54,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-05,2025-07-08,false,,Principal ord_000091
st_000122,payment,amazon,ord_000115,1290.00,232.20,41.80,12.90,1.29,0.00,1001.81,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-08,2025-07-08,false,,Order Payment ord_000115 EASYSHIP
st_000139,payment,amazon,ord_000132,1056.00,211.20,38.02,10.56,1.06,0.00,795.16,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-10,2025-07-08,false,,Order Payment ord_000132 FBA
st_000327,payment,offline,ord_000311,4282.00,86.32,15.42,0.00,0.00,0.00,4180.26,POS-BATCH-20250708-0051,SBIN25070800051,2025-07-07,2025-07-08,false,,CARD SALE TID000311
st_000331,payment,amazon,ord_000315,2636.00,632.64,113.88,26.36,2.64,0.00,1860.48,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-26,2025-07-08,false,,Order Payment ord_000315 FBA
st_000332,refund,amazon,ord_000315,-2636.00,-632.64,-113.88,-26.36,-2.64,0.00,-1860.48,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-26,2025-07-08,false,,Return-Principal ord_000315
st_000336,payment,website,ord_000319,2849.00,56.98,10.26,0.00,0.00,0.00,2781.76,RZP-STL-20250708-0111,RATNN25070800111,2025-07-06,2025-07-08,false,,rzp settlement pay_000319
st_000339,payment,amazon,ord_000322,4324.00,1037.76,186.80,43.24,4.32,0.00,3051.88,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-25,2025-07-08,false,,Principal ord_000322
st_000341,payment,amazon,ord_000324,2136.00,512.64,92.28,21.36,2.14,0.00,1507.58,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-30,2025-07-08,false,,Order Payment ord_000324 EASYSHIP
st_000342,payment,amazon,ord_000325,3068.00,659.62,118.73,30.68,3.07,0.00,2255.90,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-26,2025-07-08,false,,Principal ord_000325
st_000345,payment,website,ord_000328,3321.00,66.42,11.96,0.00,0.00,0.00,3242.62,RZP-STL-20250708-0111,RATNN25070800111,2025-07-06,2025-07-08,false,,PG CAPTURE pay_000328
st_000351,payment,amazon,ord_000333,4050.00,972.00,174.96,40.50,4.05,0.00,2858.49,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-24,2025-07-08,false,,Principal ord_000333
st_000363,payment,amazon,ord_000345,3416.00,751.52,135.27,34.16,3.42,0.00,2491.63,AMZ-STL-20250708-0005,AXISN25070800005,2025-07-01,2025-07-08,false,,Principal ord_000345
st_000364,refund,amazon,ord_000345,-3416.00,-751.52,-135.27,-34.16,-3.42,0.00,-2491.63,AMZ-STL-20250708-0005,AXISN25070800005,2025-07-01,2025-07-08,false,,Refund ord_000345 CUSTOMER RETURN
st_000367,payment,website,ord_000348,5812.00,116.24,20.92,0.00,0.00,0.00,5674.84,RZP-STL-20250708-0111,RATNN25070800111,2025-07-06,2025-07-08,false,,PG CAPTURE pay_000348
st_000369,payment,amazon,ord_000350,2702.00,540.40,97.27,27.02,2.70,0.00,2034.61,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-30,2025-07-08,false,,Order Payment ord_000350 FBA
st_000380,payment,amazon,ord_000361,2897.50,521.55,93.88,28.98,2.90,0.00,2250.19,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-27,2025-07-08,false,,Order Payment ord_000361 EASYSHIP
st_000381,payment,amazon,ord_000362,4016.00,883.52,159.03,40.16,4.02,0.00,2929.27,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-30,2025-07-08,false,,Principal ord_000362
st_000402,payment,amazon,ord_000383,4246.00,934.12,168.14,42.46,4.25,0.00,3097.03,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-27,2025-07-08,false,,Principal ord_000383
st_000408,payment,amazon,ord_000389,1417.00,340.08,61.21,14.17,1.42,0.00,1000.12,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-28,2025-07-08,false,,Principal ord_000389
st_000419,payment,amazon,ord_000400,4635.00,1019.70,183.55,46.35,4.64,0.00,3380.76,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-28,2025-07-08,false,,Principal ord_000400
st_000424,payment,amazon,ord_000404,2857.00,614.26,110.57,28.57,2.86,0.00,2100.74,AMZ-STL-20250708-0005,AXISN25070800005,2025-07-01,2025-07-08,false,,Principal ord_000404
st_000427,payment,amazon,ord_000407,3167.00,680.91,122.56,31.67,3.17,0.00,2328.69,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-28,2025-07-08,false,,Principal ord_000407
st_000428,payment,amazon,ord_000408,3046.99,655.10,117.92,30.47,3.05,0.00,2240.45,AMZ-STL-20250708-0005,AXISN25070800005,2025-07-01,2025-07-08,false,,Order Payment ord_000408 FBA
st_001126,refund,amazon,ord_000137,-681.80,0.00,0.00,0.00,0.00,0.00,-681.80,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-16,2025-07-08,false,,Refund ord_000137 CUSTOMER RETURN
st_001127,refund,amazon,ord_000178,-994.05,0.00,0.00,0.00,0.00,0.00,-994.05,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-12,2025-07-08,false,,Return-Principal ord_000178
st_001128,refund,amazon,ord_000196,-3557.61,0.00,0.00,0.00,0.00,0.00,-3557.61,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-14,2025-07-08,false,,Refund ord_000196 CUSTOMER RETURN
st_001129,refund,amazon,ord_000198,-1736.27,0.00,0.00,0.00,0.00,0.00,-1736.27,AMZ-STL-20250708-0005,AXISN25070800005,2025-06-17,2025-07-08,false,,Refund ord_000198 CUSTOMER RETURN
st_000333,payment,website,ord_000316,2724.50,54.49,9.81,0.00,0.00,0.00,2660.20,RZP-STL-20250709-0112,RATNN25070900112,2025-07-07,2025-07-09,false,,PG CAPTURE pay_000316
