order_id,channel,order_value,expected_commission_rate,expected_fee,expected_net,status,resolution_reason
ord_000140,website,2572.99,0.02,51.46,2512.27,booked,
ord_000150,website,2644.00,0.02,52.88,2581.60,booked,
ord_000155,offline,4556.00,0.02,91.12,4448.48,booked,
ord_000172,offline,1090.00,0.02,21.80,1064.28,booked,
ord_000177,offline,3180.00,0.02,63.60,3104.95,booked,
ord_000187,website,1750.00,0.02,35.00,1708.70,booked,
ord_000189,website,3781.00,0.02,75.62,3691.77,booked,
ord_000190,offline,3521.50,0.02,70.43,3438.39,booked,
ord_000192,website,1317.00,0.02,26.34,1285.92,booked,
ord_000194,website,5337.00,0.02,106.74,5211.05,booked,
ord_000201,offline,1529.99,0.02,30.60,1493.88,booked,
ord_000213,offline,2125.00,0.02,42.50,2074.85,booked,
ord_000217,offline,5336.00,0.02,106.72,5210.07,booked,
ord_000220,flipkart,3142.00,0.19,596.98,2403.00,booked,
ord_000223,offline,5472.00,0.02,109.44,5342.86,booked,
ord_000229,flipkart,1817.00,0.19,345.23,1389.64,booked,
ord_000232,flipkart,1202.00,0.22,264.44,876.74,booked,
ord_000237,amazon,2365.00,0.18,0.00,0.00,booked,
ord_000238,flipkart,2934.00,0.17,498.78,2313.17,booked,
ord_000239,flipkart,3866.00,0.17,657.22,3047.95,booked,
ord_000241,flipkart,1487.00,0.19,282.53,1137.25,booked,
ord_000248,offline,3285.00,0.02,65.70,3207.47,booked,
ord_000251,flipkart,2960.00,0.19,562.40,2263.81,booked,
ord_000259,flipkart,3402.50,0.15,510.38,2762.82,booked,
ord_000260,amazon,2624.00,0.24,629.76,1852.02,booked,
ord_000261,flipkart,2314.00,0.19,0.00,0.00,booked,
ord_000262,website,2376.00,0.02,47.52,2319.93,booked,
ord_000263,website,1282.00,0.02,25.64,1251.74,booked,
ord_000268,offline,3347.00,0.02,0.00,0.00,booked,
ord_000269,amazon,3739.00,0.18,673.02,2903.71,booked,
ord_000273,flipkart,652.00,0.17,110.84,514.04,booked,
ord_000275,amazon,2123.00,0.22,467.06,1548.52,booked,
ord_000281,website,1087.00,0.02,21.74,1061.35,booked,
ord_000286,flipkart,3955.00,0.17,672.35,3118.12,booked,
ord_000291,flipkart,2794.00,0.19,530.86,2136.86,booked,
ord_000301,flipkart,881.00,0.15,132.15,715.37,booked,
ord_000302,flipkart,4164.00,0.19,791.16,3184.63,booked,
ord_000304,website,1569.00,0.02,31.38,1531.97,booked,
ord_000306,amazon,614.50,0.22,135.19,448.22,booked,
ord_000309,myntra,1091.00,0.20,218.20,821.52,booked,
ord_000310,flipkart,2745.00,0.17,466.65,2164.15,booked,
ord_000312,flipkart,827.00,0.22,181.94,603.21,booked,
ord_000315,amazon,2636.00,0.24,0.00,0.00,booked,
ord_000318,flipkart,851.00,0.19,161.69,650.85,booked,
ord_000322,amazon,4324.00,0.24,1037.76,3051.88,booked,
ord_000325,amazon,3068.00,0.20,613.60,2310.20,booked,
ord_000330,flipkart,2220.00,0.19,421.80,1697.86,booked,
ord_000332,flipkart,2252.00,0.19,0.00,0.00,booked,
ord_000333,amazon,4050.00,0.24,972.00,2858.49,booked,
ord_000334,flipkart,2158.00,0.15,323.70,1752.29,booked,
ord_000337,flipkart,2930.00,0.17,498.10,2310.01,booked,
ord_000342,flipkart,919.00,0.15,137.85,746.23,booked,
ord_000349,myntra,1924.00,0.25,481.00,1335.26,booked,
ord_000352,myntra,3193.00,0.25,798.25,2215.94,booked,
ord_000353,flipkart,3023.00,0.17,513.91,2383.34,booked,
ord_000357,amazon,4758.00,0.20,951.60,3582.77,booked,
ord_000359,flipkart,2203.00,0.17,374.51,1736.85,booked,
ord_000361,amazon,2897.50,0.18,521.55,2250.19,booked,
ord_000366,amazon,703.00,0.18,126.54,545.95,booked,
ord_000370,flipkart,2176.00,0.15,326.40,1766.91,booked,
ord_000372,amazon,3018.00,0.24,724.32,2130.10,booked,
ord_000373,flipkart,1346.00,0.22,296.12,981.77,booked,
ord_000374,flipkart,929.00,0.17,157.93,732.42,booked,
ord_000376,myntra,4781.50,0.20,956.30,3600.47,booked,
ord_000378,flipkart,1108.00,0.17,188.36,873.55,booked,
ord_000381,amazon,2885.00,0.22,634.70,2104.31,booked,
ord_000382,flipkart,3089.00,0.22,679.58,2253.12,booked,
ord_000383,amazon,4246.00,0.22,0.00,0.00,booked,
ord_000384,myntra,5609.00,0.25,1402.25,3892.64,booked,
ord_000386,flipkart,1579.00,0.17,268.43,1244.88,booked,
ord_000389,amazon,1417.00,0.24,0.00,0.00,booked,
ord_000390,myntra,5832.00,0.20,1166.40,4391.50,booked,
ord_000391,flipkart,691.00,0.19,131.29,528.48,booked,
ord_000395,flipkart,2242.00,0.17,381.14,1767.59,booked,
ord_000400,amazon,4635.00,0.22,0.00,0.00,booked,
ord_000405,flipkart,4068.00,0.19,772.92,3111.20,booked,
ord_000407,amazon,3167.00,0.20,633.40,2384.75,booked,
ord_000409,flipkart,4233.00,0.22,931.26,3087.55,booked,
ord_000422,myntra,5696.00,0.28,1594.88,3751.38,booked,
ord_000427,myntra,4844.00,0.28,1356.32,3190.26,booked,
ord_000434,myntra,3478.00,0.20,695.60,2618.93,booked,
ord_000436,myntra,1710.00,0.20,342.00,1287.63,booked,
ord_000451,myntra,1544.00,0.28,432.32,1016.88,booked,
ord_000453,myntra,5022.00,0.25,1255.50,3485.27,booked,
ord_000481,myntra,2519.00,0.28,705.32,1659.01,booked,
ord_000486,myntra,4805.00,0.22,1057.10,3504.76,booked,
ord_000487,myntra,3950.00,0.25,987.50,2741.30,booked,
ord_000494,myntra,2757.99,0.22,606.76,2011.67,booked,
ord_000496,myntra,4068.00,0.25,1017.00,2823.19,booked,
ord_000503,myntra,1500.00,0.25,375.00,1041.00,booked,
ord_000504,myntra,5861.00,0.25,1465.25,4067.53,booked,
ord_000513,myntra,5040.00,0.25,1260.00,3497.76,booked,
ord_000516,myntra,2935.00,0.25,733.75,2036.88,booked,
ord_000519,myntra,1885.25,0.25,471.31,1308.36,booked,
ord_000521,myntra,5760.00,0.20,1152.00,4337.28,booked,
ord_000522,myntra,2356.00,0.22,518.32,1718.46,booked,
