utr,amount,created_at,status
ICICN25072100027,79475.58,2025-07-21,processed
RATNN25072100124,10315.66,2025-07-21,processed
AXISN25072200007,54820.01,2025-07-22,processed
RATNN25072200125,17147.78,2025-07-22,processed
SBIN25072300064,1537.83,2025-07-23,processed
HDFCN25072400017,46447.55,2025-07-24,processed
RATNN25072400126,5398.52,2025-07-24,processed
SBIN25072400065,1215.62,2025-07-24,processed
RATNN25072500127,9407.86,2025-07-25,processed
SBIN25072500066,8898.91,2025-07-25,processed
RATNN25072600128,5959.95,2025-07-26,processed
SBIN25072600067,14091.55,2025-07-26,processed
RATNN25072700129,8675.31,2025-07-27,processed
SBIN25072700068,2979.97,2025-07-27,processed
