order_id,channel,order_value,expected_commission_rate,expected_fee,expected_net,status,resolution_reason
ord_000529,website,4684.00,0.02,93.68,4573.46,booked,
ord_000530,offline,1724.00,0.02,34.48,1683.31,booked,
ord_000531,website,3159.25,0.02,63.19,3084.69,booked,
ord_000543,offline,1575.00,0.02,31.50,1537.83,booked,
ord_000546,website,5529.00,0.02,110.58,5398.52,booked,
ord_000553,offline,868.00,0.02,17.36,847.52,booked,
ord_000562,website,5986.00,0.02,119.72,5844.73,booked,
ord_000567,offline,3008.00,0.02,60.16,2937.01,booked,
ord_000569,offline,4502.00,0.02,90.04,4395.75,booked,
ord_000581,offline,2581.00,0.02,51.62,2520.09,booked,
ord_000583,offline,1328.00,0.02,26.56,1296.66,booked,
ord_000586,offline,2441.00,0.02,48.82,2383.39,booked,
ord_000588,website,3906.00,0.02,78.12,3813.82,booked,
ord_000599,website,1420.00,0.02,28.40,1386.49,booked,
ord_000608,offline,4507.00,0.02,90.14,4400.63,booked,
ord_000615,offline,2042.00,0.02,40.84,1993.81,booked,
ord_000622,website,2899.00,0.02,57.98,2830.58,booked,
ord_000632,website,2570.00,0.02,51.40,2509.35,booked,
ord_000635,offline,1245.00,0.02,24.90,1215.62,booked,
ord_000640,offline,3739.00,0.02,74.78,3650.76,booked,
ord_000663,offline,3128.00,0.02,62.56,3054.18,booked,
ord_000664,amazon,4623.00,0.24,1109.52,3262.92,booked,
ord_000666,flipkart,3058.00,0.22,0.00,0.00,booked,
ord_000667,amazon,2666.00,0.24,639.84,1881.66,booked,
ord_000668,flipkart,2457.00,0.19,466.83,1879.11,booked,
ord_000672,offline,1794.25,0.02,35.89,1751.90,booked,
ord_000674,amazon,3463.00,0.24,0.00,0.00,booked,
ord_000675,amazon,2409.00,0.24,578.16,1700.27,booked,
ord_000680,website,1075.25,0.02,21.51,1049.87,booked,
ord_000681,flipkart,1628.00,0.22,358.16,1187.46,booked,
ord_000685,website,1909.00,0.02,38.18,1863.95,booked,
ord_000688,flipkart,2575.00,0.22,566.50,1878.20,booked,
ord_000695,website,4090.00,0.02,81.80,3993.48,booked,
ord_000696,flipkart,2629.00,0.15,0.00,0.00,booked,
ord_000697,flipkart,958.00,0.22,210.76,698.76,booked,
ord_000702,flipkart,3313.00,0.22,728.86,2416.51,booked,
ord_000704,amazon,1370.00,0.18,246.60,1063.94,booked,
ord_000712,website,6889.00,0.02,137.78,6726.42,booked,
ord_000715,amazon,4759.00,0.24,0.00,0.00,booked,
ord_000721,amazon,4750.00,0.24,1140.00,3352.55,booked,
ord_000724,amazon,770.00,0.20,154.00,579.81,booked,
ord_000728,website,1332.00,0.02,26.64,1300.56,booked,
ord_000729,offline,2308.00,0.02,0.00,0.00,booked,
ord_000735,flipkart,3233.00,0.17,549.61,2548.90,booked,
ord_000736,flipkart,3616.00,0.19,687.04,2765.51,booked,
ord_000741,flipkart,815.99,0.22,179.52,595.18,booked,
ord_000748,amazon,2025.00,0.20,405.00,1524.82,booked,
ord_000749,flipkart,2334.00,0.15,350.10,1895.21,booked,
ord_000750,amazon,2700.00,0.22,594.00,1969.38,booked,
ord_000756,amazon,2183.00,0.18,392.94,1695.32,booked,
ord_000764,flipkart,1927.00,0.22,423.94,1405.55,booked,
ord_000768,amazon,1417.00,0.20,283.40,1067.00,booked,
ord_000771,amazon,2377.00,0.18,427.86,1845.98,booked,
ord_000778,website,5536.00,0.02,110.72,5405.35,booked,
ord_000779,amazon,3328.99,0.20,665.80,2506.73,booked,
ord_000780,website,2168.00,0.02,43.36,2116.84,booked,
ord_000784,amazon,1711.00,0.20,342.20,1288.38,booked,
ord_000786,amazon,872.00,0.22,0.00,0.00,booked,
ord_000788,amazon,4144.00,0.18,0.00,0.00,booked,
ord_000790,amazon,1155.00,0.20,231.00,869.71,booked,
ord_000791,myntra,4918.00,0.22,1081.96,3587.19,booked,
ord_000792,myntra,1099.00,0.22,241.78,801.61,booked,
ord_000794,amazon,3882.00,0.20,776.40,2923.15,booked,
ord_000795,flipkart,829.00,0.17,140.93,653.58,booked,
ord_000796,amazon,2402.00,0.22,528.44,1752.02,booked,
ord_000797,flipkart,898.00,0.15,134.70,729.17,booked,
ord_000799,amazon,3221.00,0.24,773.04,2273.38,booked,
ord_000801,flipkart,2636.00,0.15,395.40,2140.43,booked,
ord_000802,flipkart,2530.00,0.19,480.70,1934.94,booked,
ord_000806,amazon,3031.00,0.18,545.58,2353.88,booked,
ord_000807,amazon,1938.00,0.22,0.00,0.00,booked,
ord_000808,flipkart,774.00,0.19,147.06,591.96,booked,
ord_000810,amazon,1231.00,0.24,295.44,868.84,booked,
ord_000811,myntra,3564.00,0.25,891.00,2473.42,booked,
ord_000813,amazon,4467.00,0.18,804.06,3469.07,booked,
ord_000815,myntra,5615.00,0.25,1403.75,3896.80,booked,
ord_000816,amazon,2474.00,0.20,494.80,1862.93,booked,
ord_000817,amazon,4980.00,0.24,1195.20,3514.88,booked,
ord_000819,flipkart,911.00,0.15,136.65,739.73,booked,
ord_000822,amazon,4183.00,0.20,836.60,3149.80,booked,
ord_000823,amazon,2123.00,0.24,509.52,1498.42,booked,
ord_000826,amazon,2843.00,0.22,0.00,0.00,booked,
ord_000829,flipkart,3669.00,0.15,550.35,2979.23,booked,
ord_000830,flipkart,1777.00,0.17,302.09,1400.98,booked,
ord_000831,flipkart,3125.00,0.22,687.50,2279.37,booked,
ord_000832,amazon,2557.00,0.20,511.40,1925.42,booked,
ord_000835,flipkart,4080.50,0.17,693.69,3217.06,booked,
ord_000836,flipkart,886.00,0.15,132.90,719.43,booked,
ord_000837,flipkart,2666.00,0.15,399.90,2164.79,booked,
ord_000840,flipkart,3800.00,0.15,570.00,3085.60,booked,
ord_000841,flipkart,2029.00,0.17,344.93,1599.66,booked,
ord_000842,myntra,4297.00,0.25,1074.25,2982.11,booked,
ord_000843,myntra,2810.00,0.25,702.50,1950.14,booked,
ord_000844,amazon,1767.25,0.20,353.45,1330.74,booked,
ord_000847,myntra,1083.99,0.25,271.00,752.29,booked,
ord_000848,amazon,910.00,0.22,200.20,663.75,booked,
ord_000851,amazon,1541.00,0.20,0.00,0.00,booked,
ord_000855,amazon,4508.00,0.22,991.76,3288.13,booked,
ord_000861,amazon,3466.00,0.20,693.20,2609.89,booked,
ord_000862,myntra,2096.00,0.25,524.00,1454.62,booked,
ord_000864,flipkart,2057.00,0.22,452.54,1500.37,booked,
ord_000865,amazon,4081.00,0.22,0.00,0.00,booked,
ord_000867,flipkart,930.00,0.19,176.70,711.26,booked,
ord_000869,amazon,1351.00,0.22,297.22,985.42,booked,
ord_000870,amazon,3181.00,0.20,0.00,0.00,booked,
ord_000871,amazon,1792.00,0.22,394.24,1307.09,booked,
ord_000872,amazon,4596.00,0.20,919.20,3460.78,booked,
ord_000875,flipkart,1108.00,0.17,188.36,873.55,booked,
ord_000878,myntra,1144.00,0.25,286.00,793.94,booked,
ord_000881,amazon,2989.00,0.20,597.80,2250.72,booked,
ord_000882,flipkart,3974.00,0.19,755.06,3039.32,booked,
ord_000883,flipkart,3943.00,0.15,591.45,3201.72,booked,
ord_000884,flipkart,3715.00,0.19,705.85,2841.23,booked,
ord_000885,flipkart,1841.50,0.22,405.13,1343.19,booked,
ord_000887,flipkart,2705.99,0.17,460.02,2133.40,booked,
ord_000889,flipkart,3328.00,0.17,565.76,2623.79,booked,
ord_000891,flipkart,1424.99,0.15,213.75,1157.09,booked,
ord_000892,amazon,4776.00,0.24,1146.24,3370.90,booked,
ord_000894,amazon,2578.00,0.22,567.16,1880.39,booked,
ord_000895,amazon,4520.00,0.20,904.00,3403.56,booked,
ord_000898,flipkart,3673.00,0.15,550.95,2982.48,booked,
ord_000899,flipkart,1914.00,0.17,325.38,1509.00,booked,
ord_000901,myntra,4469.00,0.25,1117.25,3101.48,booked,
ord_000902,flipkart,2237.00,0.22,492.14,1631.66,booked,
ord_000906,amazon,2282.00,0.20,456.40,1718.35,booked,
ord_000907,flipkart,2021.50,0.15,303.23,1641.45,booked,
ord_000910,flipkart,2602.00,0.22,572.44,1897.90,booked,
ord_000912,flipkart,578.50,0.22,127.27,421.95,booked,
ord_000913,amazon,2055.00,0.18,369.90,1595.91,booked,
ord_000916,myntra,1758.00,0.25,439.50,1220.05,booked,
ord_000918,amazon,3422.00,0.20,684.40,2576.77,booked,
ord_000919,flipkart,1844.00,0.19,350.36,1410.30,booked,
ord_000920,amazon,1032.00,0.20,206.40,777.10,booked,
ord_000922,amazon,4856.00,0.20,971.20,3656.56,booked,
ord_000925,amazon,810.00,0.24,194.40,571.70,booked,
ord_000930,myntra,4075.50,0.25,1018.88,2828.38,booked,
ord_000934,myntra,1468.50,0.25,367.13,1019.13,booked,
ord_000972,myntra,3585.00,0.25,896.25,2487.98,booked,
ord_000993,myntra,2636.00,0.25,659.00,1829.38,booked,
ord_000999,myntra,2365.00,0.25,591.25,1641.30,booked,
ord_001016,myntra,2979.00,0.25,744.75,2067.42,booked,
ord_001031,myntra,2588.00,0.25,647.00,1796.07,booked,
ord_001032,myntra,4697.00,0.25,1174.25,3259.71,booked,
ord_001036,myntra,1624.00,0.25,406.00,1127.06,booked,
ord_001037,myntra,5133.00,0.25,1283.25,3562.30,booked,
ord_001039,myntra,2054.00,0.22,451.88,1498.19,booked,
