entity_id,type,channel,order_id,amount,fee,tax,tcs,tds,debit,credit,settlement_id,settlement_utr,created_at,settled_at,on_hold,dispute_id,description
st_000231,payment,myntra,ord_000219,3960.00,990.00,178.20,39.60,3.96,0.00,2748.24,MYN-PO-20250127-0024,ICICN25012700024,2025-01-09,2025-01-27,false,,SJIT SALE ord_000219
st_000233,payment,myntra,ord_000221,3887.00,777.40,139.93,38.87,3.89,0.00,2926.91,MYN-PO-20250127-0024,ICICN25012700024,2025-01-16,2025-01-27,false,,PPMP SALE ord_000221
st_000235,payment,offline,ord_000223,5472.00,109.44,19.70,0.00,0.00,0.00,5342.86,POS-BATCH-20250127-0045,SBIN25012700045,2025-01-26,2025-01-27,false,,POS TID000223 SALE
st_000236,payment,myntra,ord_000224,3699.00,1035.72,186.43,36.99,3.70,0.00,2436.16,MYN-PO-20250127-0024,ICICN25012700024,2025-01-06,2025-01-27,false,,PPMP SALE ord_000224
st_000240,payment,myntra,ord_000228,1335.00,267.00,48.06,13.35,1.34,0.00,1005.25,MYN-PO-20250127-0024,ICICN25012700024,2025-01-16,2025-01-27,false,,SJIT SALE ord_000228
st_000245,payment,myntra,ord_000233,4577.00,1244.94,224.09,45.77,4.58,0.00,3057.62,MYN-PO-20250127-0024,ICICN25012700024,2025-01-08,2025-01-27,false,,SJIT SALE ord_000233
st_000255,payment,myntra,ord_000243,2832.00,770.30,138.65,28.32,2.83,0.00,1891.90,MYN-PO-20250127-0024,ICICN25012700024,2025-01-16,2025-01-27,false,,PPMP SALE ord_000243
st_000257,payment,myntra,ord_000245,5305.00,1061.54,190.98,53.05,5.31,0.00,3994.12,MYN-PO-20250127-0024,ICICN25012700024,2025-01-17,2025-01-27,false,,SJIT SALE ord_000245
st_000260,payment,myntra,ord_000247,5857.00,1288.54,231.94,58.57,5.86,0.00,4272.09,MYN-PO-20250127-0024,ICICN25012700024,2025-01-15,2025-01-27,false,,SJIT SALE ord_000247
st_000261,payment,offline,ord_000248,3285.00,65.70,11.83,0.00,0.00,0.00,3207.47,POS-BATCH-20250127-0045,SBIN25012700045,2025-01-26,2025-01-27,false,,POS TID000248 SALE
st_000267,payment,myntra,ord_000254,3035.00,825.52,148.59,30.35,3.04,0.00,2027.50,MYN-PO-20250127-0024,ICICN25012700024,2025-01-08,2025-01-27,false,,SJIT SALE ord_000254
st_000269,payment,myntra,ord_000256,3140.00,785.00,141.30,31.40,3.14,0.00,2179.16,MYN-PO-20250127-0024,ICICN25012700024,2025-01-16,2025-01-27,false,,SJIT SALE ord_000256
st_000276,payment,website,ord_000262,2376.00,47.52,8.55,0.00,0.00,0.00,2319.93,RZP-STL-20250127-0106,RATNN25012700106,2025-01-25,2025-01-27,false,,rzp settlement pay_000262
