utr,amount,created_at,status
ICICN25063000024,47754.58,2025-06-30,processed
RATNN25063000106,6164.99,2025-06-30,processed
SBIN25063000045,8550.33,2025-06-30,processed
AXISN25070100004,33110.16,2025-07-01,processed
UNKN0400077188,32047.00,2025-07-01,processed
RATNN25070200107,28925.23,2025-07-02,processed
SBIN25070200046,1808.29,2025-07-02,processed
HDFCN25070300014,38792.26,2025-07-03,processed
SBIN25070300047,2678.27,2025-07-03,processed
SBIN25070400048,3185.01,2025-07-04,processed
RATNN25070600109,3023.91,2025-07-06,processed
SBIN25070600049,7315.19,2025-07-06,processed
