utr,amount,created_at,status
ICICN25071400026,71846.32,2025-07-14,processed
RATNN25071400117,1514.40,2025-07-14,processed
SBIN25071400057,3374.44,2025-07-14,processed
AXISN25071500006,37889.57,2025-07-15,processed
RATNN25071500118,2926.27,2025-07-15,processed
SBIN25071500058,3850.43,2025-07-15,processed
RATNN25071600119,20488.63,2025-07-16,processed
SBIN25071600059,4875.17,2025-07-16,processed
HDFCN25071700016,35669.50,2025-07-17,processed
RATNN25071700120,12025.34,2025-07-17,processed
SBIN25071700060,3486.72,2025-07-17,processed
RATNN25071800121,7792.64,2025-07-18,processed
SBIN25071800061,1544.66,2025-07-18,processed
RATNN25071900122,7613.86,2025-07-19,processed
SBIN25071900062,5335.05,2025-07-19,processed
RATNN25072000123,20476.08,2025-07-20,processed
SBIN25072000063,10313.95,2025-07-20,processed
