order_id,channel,order_value,expected_commission_rate,expected_fee,expected_net,status,resolution_reason
ord_000412,website,3149.00,0.02,62.98,3074.68,booked,
ord_000419,website,3963.00,0.02,79.26,3869.47,booked,
ord_000423,website,1299.00,0.02,25.98,1268.34,booked,
ord_000424,offline,3571.00,0.02,71.42,3486.72,booked,
ord_000429,website,3433.00,0.02,68.66,3351.98,booked,
ord_000432,website,5175.00,0.02,103.50,5052.87,booked,
ord_000441,offline,2636.00,0.02,52.72,2573.79,booked,
ord_000442,offline,1189.00,0.02,23.78,1160.94,booked,
ord_000444,offline,1582.00,0.02,31.64,1544.66,booked,
ord_000445,website,5490.25,0.02,109.81,5360.67,booked,
ord_000446,website,2233.25,0.02,44.67,2180.54,booked,
ord_000449,website,4594.00,0.02,91.88,4485.58,booked,
ord_000450,website,3733.50,0.02,74.67,3645.39,booked,
ord_000457,website,1832.00,0.02,36.64,1788.76,booked,
ord_000458,offline,2754.50,0.02,55.09,2689.49,booked,
ord_000462,website,2667.00,0.02,53.34,2604.06,booked,
ord_000466,website,3249.00,0.02,64.98,3172.32,booked,
ord_000471,website,5204.00,0.02,104.08,5081.19,booked,
ord_000473,website,3413.00,0.02,68.26,3332.45,booked,
ord_000477,offline,1376.00,0.02,27.52,1343.53,booked,
ord_000479,offline,5089.00,0.02,101.78,4968.90,booked,
ord_000488,website,5923.25,0.02,0.00,0.00,booked,
ord_000492,offline,2838.25,0.02,56.77,2771.26,booked,
ord_000498,website,1597.00,0.02,31.94,1559.31,booked,
ord_000500,website,5424.00,0.02,108.48,5295.99,booked,
ord_000506,website,5480.00,0.02,109.60,5350.67,booked,
ord_000510,website,6689.00,0.02,133.78,6531.14,booked,
ord_000512,offline,4088.00,0.02,81.76,3991.52,booked,
ord_000520,website,1426.00,0.02,28.52,1392.35,booked,
ord_000524,offline,4993.00,0.02,99.86,4875.17,booked,
ord_000525,website,4251.00,0.02,0.00,0.00,booked,
ord_000534,flipkart,3747.25,0.15,562.09,3042.76,booked,
ord_000541,amazon,2281.00,0.20,456.20,1717.59,booked,
ord_000544,flipkart,945.00,0.19,179.55,722.73,booked,
ord_000550,flipkart,1784.00,0.17,303.28,1406.51,booked,
ord_000551,flipkart,2051.00,0.22,451.22,1496.00,booked,
ord_000556,flipkart,828.00,0.22,182.16,603.94,booked,
ord_000559,website,3437.00,0.02,68.74,3355.89,booked,
ord_000571,website,2321.00,0.02,46.42,2266.22,booked,
ord_000572,flipkart,3145.00,0.17,534.65,2479.51,booked,
ord_000575,flipkart,3846.00,0.17,653.82,3032.18,booked,
ord_000576,website,4990.00,0.02,99.80,4872.24,booked,
ord_000577,flipkart,902.00,0.19,171.38,689.85,booked,
ord_000584,flipkart,4448.00,0.17,756.16,3506.80,booked,
ord_000587,website,4647.00,0.02,92.94,4537.33,booked,
ord_000589,website,3642.00,0.02,72.84,3556.05,booked,
ord_000592,amazon,2149.00,0.22,0.00,0.00,booked,
ord_000593,website,3597.00,0.02,71.94,3512.11,booked,
ord_000595,amazon,4120.00,0.22,906.40,3005.13,booked,
ord_000598,amazon,2929.00,0.22,644.38,2136.41,booked,
ord_000604,amazon,3806.00,0.22,837.32,2776.09,booked,
ord_000607,flipkart,3965.00,0.22,872.30,2892.07,booked,
ord_000611,amazon,4446.00,0.24,0.00,0.00,booked,
ord_000618,flipkart,1940.00,0.17,329.80,1529.50,booked,
ord_000624,flipkart,2517.00,0.22,553.74,1835.90,booked,
ord_000625,flipkart,1404.00,0.17,238.68,1106.92,booked,
ord_000627,website,1342.99,0.02,26.86,1311.30,booked,
ord_000643,website,4150.25,0.02,83.01,4052.30,booked,
ord_000645,flipkart,4332.00,0.17,736.44,3415.35,booked,
ord_000646,amazon,1781.00,0.18,320.58,1383.13,booked,
ord_000648,amazon,4457.25,0.22,0.00,0.00,booked,
ord_000650,amazon,3734.00,0.24,896.16,2635.46,booked,
ord_000651,amazon,2884.00,0.20,576.80,2171.66,booked,
ord_000653,myntra,5755.00,0.25,1438.75,3993.96,booked,
ord_000654,amazon,3310.00,0.22,0.00,0.00,booked,
ord_000656,amazon,4767.25,0.20,953.45,3589.74,booked,
ord_000658,amazon,2973.00,0.24,0.00,0.00,booked,
ord_000662,flipkart,2367.00,0.19,449.73,1810.28,booked,
ord_000665,flipkart,2580.00,0.19,490.20,1973.18,booked,
ord_000669,myntra,5757.00,0.20,1151.40,4335.02,booked,
ord_000670,flipkart,4418.00,0.17,751.06,3483.15,booked,
ord_000671,flipkart,1667.00,0.17,283.39,1314.26,booked,
ord_000676,amazon,2119.00,0.22,466.18,1545.60,booked,
ord_000677,amazon,3681.00,0.22,809.82,2684.92,booked,
ord_000682,flipkart,2762.00,0.15,414.30,2242.75,booked,
ord_000683,amazon,2497.00,0.24,599.28,1762.38,booked,
ord_000686,amazon,3815.00,0.20,763.00,2872.69,booked,
ord_000687,myntra,5671.50,0.22,1247.73,4136.79,booked,
ord_000689,amazon,2385.50,0.22,524.81,1739.97,booked,
ord_000690,amazon,4578.00,0.18,824.04,3555.27,booked,
ord_000693,amazon,1580.00,0.20,316.00,1189.74,booked,
ord_000698,flipkart,3893.99,0.22,856.68,2840.28,booked,
ord_000701,amazon,2294.00,0.18,0.00,0.00,booked,
ord_000705,amazon,1815.00,0.24,0.00,0.00,booked,
ord_000706,flipkart,900.00,0.22,198.00,656.46,booked,
ord_000709,amazon,4885.00,0.20,977.00,3678.40,booked,
ord_000710,amazon,1882.00,0.20,376.40,1417.15,booked,
ord_000713,myntra,1579.00,0.20,0.00,0.00,booked,
ord_000716,amazon,2654.00,0.20,0.00,0.00,booked,
ord_000722,flipkart,2069.00,0.22,455.18,1509.13,booked,
ord_000726,myntra,3914.00,0.25,978.50,2716.32,booked,
ord_000727,flipkart,1963.00,0.15,294.45,1593.96,booked,
ord_000730,flipkart,2402.00,0.15,360.30,1950.43,booked,
ord_000731,flipkart,651.99,0.19,123.88,498.64,booked,
ord_000734,amazon,2497.99,0.18,449.64,1939.93,booked,
ord_000737,amazon,885.00,0.18,159.30,687.29,booked,
ord_000742,flipkart,1299.00,0.15,194.85,1054.79,booked,
ord_000744,myntra,1668.00,0.25,417.00,1157.59,booked,
ord_000747,amazon,743.00,0.20,148.60,559.48,booked,
ord_000751,amazon,3149.00,0.20,629.80,2371.20,booked,
