order_id,channel,order_value,expected_commission_rate,expected_fee,expected_net,status,resolution_reason
ord_000064,website,4012.00,0.02,80.24,3917.32,booked,
ord_000065,website,3958.00,0.02,79.16,3864.59,booked,
ord_000070,website,5681.00,0.02,0.00,0.00,booked,
ord_000073,offline,2856.00,0.02,57.12,2788.60,booked,
ord_000074,website,2403.00,0.02,48.06,2346.29,booked,
ord_000076,website,5754.00,0.02,115.08,5618.21,booked,
ord_000077,offline,1889.00,0.02,37.78,1844.42,booked,
ord_000082,website,2017.99,0.02,40.36,1970.37,booked,
ord_000083,website,6480.00,0.02,0.00,0.00,booked,
ord_000085,offline,1889.00,0.02,37.78,1844.42,booked,
ord_000088,website,6534.00,0.02,130.68,6379.80,booked,
ord_000089,website,6637.00,0.02,132.74,6480.37,booked,
ord_000090,website,6789.00,0.02,135.78,6628.78,booked,
ord_000102,offline,4916.00,0.02,98.32,4799.98,booked,
ord_000108,offline,1543.00,0.02,30.86,1506.59,booked,
ord_000111,website,3951.00,0.02,79.02,3857.76,booked,
ord_000112,offline,1396.50,0.02,27.93,1363.54,booked,
ord_000113,website,3928.00,0.02,78.56,3835.30,booked,
ord_000120,website,2913.00,0.02,58.26,2844.25,booked,
ord_000124,offline,3819.00,0.02,76.38,3728.87,booked,
ord_000135,amazon,1680.00,0.22,369.60,1225.39,booked,
ord_000137,amazon,966.00,0.24,0.00,0.00,booked,
ord_000139,website,2870.00,0.02,57.40,2802.27,booked,
ord_000149,flipkart,2211.00,0.17,375.87,1743.15,booked,
ord_000154,amazon,1921.25,0.18,345.83,1492.04,booked,
ord_000157,website,6653.00,0.02,133.06,6495.99,booked,
ord_000163,flipkart,3722.00,0.17,632.74,2934.43,booked,
ord_000165,flipkart,3679.00,0.19,699.01,2813.70,booked,
ord_000167,flipkart,2894.00,0.15,434.10,2349.93,booked,
ord_000168,flipkart,3060.00,0.17,520.20,2412.50,booked,
ord_000169,flipkart,1013.00,0.19,192.47,774.75,booked,
ord_000175,flipkart,3957.25,0.22,870.60,2886.41,booked,
ord_000179,flipkart,2586.00,0.19,491.34,1977.77,booked,
ord_000182,website,2181.99,0.02,43.64,2130.49,booked,
ord_000188,flipkart,713.00,0.17,121.21,562.13,booked,
ord_000198,amazon,2460.00,0.24,0.00,0.00,booked,
ord_000199,amazon,4065.25,0.20,813.05,3061.13,booked,
ord_000207,flipkart,850.00,0.17,144.50,670.14,booked,
ord_000209,flipkart,2769.00,0.17,0.00,0.00,booked,
ord_000210,flipkart,4454.99,0.22,980.10,3249.47,booked,
ord_000212,amazon,1447.00,0.20,289.40,1089.59,booked,
ord_000218,flipkart,3906.00,0.19,742.14,2987.30,booked,
ord_000221,myntra,3887.00,0.20,777.40,2926.91,booked,
ord_000225,amazon,3729.00,0.20,745.80,2807.94,booked,
ord_000226,flipkart,1172.00,0.19,222.68,896.35,booked,
ord_000227,amazon,816.00,0.24,195.84,575.93,booked,
ord_000228,myntra,1335.00,0.20,267.00,1005.25,booked,
ord_000230,amazon,3789.99,0.22,833.80,2764.42,booked,
