utr,amount,created_at,status
ICICN25061600022,35360.56,2025-06-16,processed
RATNN25061600095,9650.74,2025-06-16,processed
AXISN25061700002,23251.24,2025-06-17,processed
SBIN25061700036,1844.42,2025-06-17,processed
RATNN25061800096,22230.67,2025-06-18,processed
SBIN25061800037,2788.60,2025-06-18,processed
HDFCN25061900012,24933.62,2025-06-19,processed
RATNN25061900097,2844.25,2025-06-19,processed
RATNN25062000098,3835.30,2025-06-20,processed
SBIN25062000038,1363.54,2025-06-20,processed
RATNN25062100099,14830.54,2025-06-21,processed
SBIN25062100039,6306.57,2025-06-21,processed
RATNN25062200100,3846.52,2025-06-22,processed
SBIN25062200040,5573.29,2025-06-22,processed
